No.,Name,Website,Type,Location,Dzongkhag,Lat,Long,ObjectId,x,y
1,"Kaja Throm, Thimphu",https://www.facebook.com/kajathromthimphu/,Kaja Throm Food Stalls,"Kaja Throm, Thimphu",Thimphu,27.48172017,89.64172656,1,89.64172656,27.48172017
2,"Kaja Throm, Paro",https://www.facebook.com/kajathromparo/,Kaja Throm Food Stalls,"Kaja Throm, Paro",Paro,27.43315599,89.41619405,2,89.41619405,27.43315599
3,"Kaja Throm, Punakha",https://www.facebook.com/Desuungskillingprogramme/videos/punakha-kaja-throm/6057248984357070/,Kaja Throm Food Stalls,"Kaja Throm, Punakha",Punakha,27.6005863,89.87441752,3,89.87441752,27.6005863
4,"Kaja Throm, Phuentsholing",https://www.facebook.com/kajathrom.pling/,Kaja Throm Food Stalls,"Kaja Throm, Phuentsholing",Phuentsholing,26.88845985,89.38871709,4,89.38871709,26.88845985
5,"Kaja Throm, Mongar",http://www.mongar.gov.bt/sites/mongar.gov.bt/files/2024-06/e-Newsletter%20Issue%20IX.pdf,Kaja Throm Food Stalls,"Kaja Throm, Mongar",Mongar,27.2283019,91.19758925,5,91.19758925,27.2283019
6,"DSP Food Services, Thimphu",https://erp.desuung.org.bt/initiatives/ventures,DSP Food Services ,Taba,Thimphu,27.51725314,89.64348039,6,89.64348039,27.51725314
7,"DSP Spa and Salon, Thimphu",https://www.instagram.com/dspspasalon/,DSP Spa and Salon,"DSP Spa and Salon, Thimphu",Thimphu,27.47911979,89.63523751,7,89.63523751,27.47911979
8,"DSP Bike Rentals and Repairs, Thimphu",https://www.facebook.com/people/DSP-Bike-Rentals-and-Repairs/61554245969846/,DSP Bike Rentals and Repairs,ChoeGo Thimphu,Thimphu,27.47897753,89.63709534,8,89.63709534,27.47897753
9,"Desuung Cafe, Thimphu",https://www.instagram.com/desuung_cafe/,De-suung Cafe,National Memorial Chorten,Thimphu,27.46682204,89.63771666,9,89.63771666,27.46682204
10,"Garuda Bar and Cafe, Thimphu",https://www.facebook.com/garudabarthimphu/,Garuda Bar and Cafe,"Garuda Bar and Cafe, Thimphu",Thimphu,27.47989722,89.63678988,10,89.63678988,27.47989722
11,"Garuda Bar and Cafe, Punakha",https://www.instagram.com/kajathrom.punakha/,Garuda Bar and Cafe,"Garuda Bar and Cafe, Punakha",Punakha,27.54846979,89.87271778,11,89.87271778,27.54846979
12,"DSP Spa and Salon, Paro",https://www.facebook.com/Desuungskillingprogramme/videos/-introducing-dsp-spa-salon-in-the-charming-locale-of-paro-immerse-yourself-in-an/645728184353014/,DSP Spa and Salon,"DSP Spa and Salon, Paro",Paro,27.43315599,89.41619405,12,89.41619405,27.43315599
13,"Garuda Bar and Cafe, Phuentsholing",https://www.facebook.com/kajathrom.pling/,Garuda Bar and Cafe,"Garuda Bar and Cafe, Phuentsholing",Phuentsholing,26.88845985,89.38871709,13,89.38871709,26.88845985
14,"Garuda Bar and Cafe, Paro",https://garudabar.online/,Garuda Bar and Cafe,"Garuda Bar and Cafe, Paro",Paro,27.43315599,89.41619405,14,89.41619405,27.43315599
15,"Garuda Bar and Cafe, Mongar",https://erp.desuung.org.bt/initiatives/ventures,Garuda Bar and Cafe,"Garuda Bar and Cafe, Mongar",Mongar,27.27575004,91.24076585,15,91.24076585,27.27575004
