OBJECTID,Name,Website,Gewog,Dzongkhag,Scheme,Months,Date_Completed,Households,People_Benefited,Schools,Acres,BHU,Plots,Drashtang,Population,Trenching_Distance_km,Lat,Long,Altitude,Male,Female,TotDesuups,Status,Location
1,Kamji Water Project,https://desuung.org.bt/geling-water-project/,Kamji,Chukha,Drinking Water,3.0,2021-04-24,11,89,,,,,,,9.05,26.89,89.46,,,,,Complete,
2,Kalapang Water Project,https://desuung.org.bt/portfolio/kalapang-water-project-mongar/,Saling,Mongar,Drinking Water and Dry Water Irrigation,3.0,2021-05-10,22,135,,42.00,1,,,,4.50,27.19,91.20,,,,,Complete,Kalapang
3,Dangdung Water Project,https://desuung.org.bt/portfolio/dangdung-water-project-trongsa/,Guma,Trongsa,Drinking Water,3.0,2021-04-28,57,285,,,,,,,6.10,27.33,90.58,,,,,Complete,Dangdung
4,Kana Water Project,https://desuung.org.bt/portfolio/kana-water-project-dagana/,Kana,Dagana,Drinking Water,3.0,2021-05-28,86,895,,,,,,,9.85,27.03,89.91,,,,,Complete,
5,Naja Water Project,https://desuung.org.bt/portfolio/naja-water-project-paro/,Naja,Paro,Drinking Water,4.0,2021-06-21,87,728,,,,,,,4.34,27.25,89.41,,,,,Complete,
6,Naja Water Project,https://desuung.org.bt/portfolio/naja-water-project-paro/,Bemphu,Paro,Drinking Water,2.0,2021-12-15,14,115,,,,,,,1.40,27.25,89.41,,,,,Complete,
7,Samtengang Water Project,https://desuung.org.bt/portfolio/nyisho-water-project-wangduephodrang/,Samtengang,Wangdue Phodrang,Drinking Water,3.0,2021-06-10,,970,2,,,,,,7.09,27.52,89.98,,,,,Complete,
8,Telung Water Project,https://desuung.org.bt/portfolio/telung-water-project-pemagatshel/,Telung,Pemagatshel,Drinking Water,3.0,2021-07-02,85,340,,,,,,,7.77,27.02,91.40,,,,,Complete,
9,Gomdar Water Project,https://desuung.org.bt/portfolio/gomdar-water-project/,Gomdar,SamdrupJongkhar,Drinking Water,6.0,2021-07-23,36,240,,,,,,,4.20,26.81,91.50,,,,,Complete,
10,Khar Water Project,https://desuung.org.bt/portfolio/khar-water-project/,Khar,Pemagatshel,Drinking Water,3.0,2021-07-25,66,219,,,,,,,6.60,26.99,91.40,,,,,Complete,
11,Tshaphel Water Project,https://desuung.org.bt/portfolio/tshaphel-water-project/,Tshaphel,Haa,Drinking Water,3.0,2021-09-08,17,510,1,,,,,,2.61,27.34,89.32,,,,,Complete,
12,LAP 4-Samdrup Jongkhar,https://desuung.org.bt/portfolio/lap-4-samdrup-jongkhar/,"Thromde, LAP 4",SamdrupJongkhar,Drinking Water,4.0,2021-09-08,61,1500,1,,,,,,1.20,26.80,91.50,,,,,Complete,
